No,house age,distance to the nearest MRT station,number of convenience stores,house price of unit area
1,6.6,90.45606,9,58.1
2,20.5,2185.128,3,25.6
3,30,1013.341,5,22.8
4,12.9,250.631,7,39.3
5,29.4,4510.359,1,13.2
6,17.7,350.8515,1,37.4
7,36.6,488.8193,8,38.3
8,5.2,390.5684,5,52.2
9,12.9,492.2313,5,42.5
10,25.3,2707.392,3,17.7
11,10.1,279.1726,7,47.9
12,11.4,390.5684,5,46.8
13,34.5,324.9419,6,46
14,31.4,1447.286,3,21.5
15,13.7,250.631,7,41.4
16,34.8,405.2134,1,41.4
17,14.1,289.3248,5,53.3
18,30.8,377.7956,6,36.8
19,13.6,492.2313,5,48
20,0,208.3905,6,45.7
21,20.3,287.6025,6,46.7
22,17.5,395.6747,5,24.5
23,11.5,1360.139,1,26.2
24,4.3,432.0385,7,45.2
25,25.3,1583.722,3,30.6
26,11.6,390.5684,5,39.4
27,25.6,4519.69,0,15.6
28,30.3,4510.359,1,22.6
29,8.4,1962.628,1,23.5
30,13.3,250.631,7,42
31,0,274.0144,1,43.5
32,2.6,1554.25,3,31.1
33,34.8,190.0392,8,44.3
34,35.9,616.4004,3,36.8
35,13.3,492.2313,5,31.3
36,32.7,392.4459,6,30.5
37,30.4,1735.595,2,25.9
38,16.6,289.3248,5,59.6
39,32.8,204.1705,8,48.2
40,18.1,837.7233,0,29.7
41,13,492.2313,5,39.3
42,0,338.9679,9,44.9
43,30.9,6396.283,1,12.2
44,12.4,1712.632,2,31.3
45,32.8,377.8302,9,38.6
46,33,181.0766,9,42
47,14,438.8513,1,42.6
48,16.5,2288.011,3,23.2
49,18,1414.837,1,26.6
50,37.9,488.5727,1,34.2
51,27.6,515.1122,5,37.4
52,19.2,616.4004,3,39.6
53,5.1,1867.233,2,35.6
54,13.8,4082.015,0,20
55,16.9,4066.587,0,20.7
56,13.3,492.2313,5,38.9
57,2.1,451.2438,5,45.5
58,34.9,179.4538,8,39.7
59,35.7,579.2083,2,50.5
60,38,461.7848,0,35.7
61,3.5,757.3377,3,36.7
62,1.1,193.5845,6,48.6
63,9.7,421.479,5,49.3
64,43.8,57.58945,7,42.7
65,31.7,1159.454,0,13.8
66,15.7,815.9314,4,38.1
67,2.6,533.4762,4,55
68,17.7,451.6419,8,26.5
69,0,338.9679,9,50.8
70,16.4,289.3248,5,51
71,33.5,1978.671,2,23.5
72,14.7,1717.193,2,30.5
73,15.9,1497.713,3,23.6
74,4,2147.376,3,30.7
75,2.7,533.4762,4,53.9
76,3.5,49.66105,8,57.8
77,31.3,600.8604,5,30.9
78,4.9,387.7721,9,44.7
79,19.2,383.7129,8,48.1
80,17.2,2175.877,3,27.7
81,28.6,197.1338,6,42.5
82,17.7,837.7233,0,28.8
83,16.9,4066.587,0,18.3
84,5.6,2408.993,0,24.7
85,8.3,104.8101,5,42.8
86,6.8,379.5575,10,54.4
87,7.1,2175.03,3,32.1
88,16.3,4066.587,0,20.5
89,30.6,143.8383,8,53.3
90,29.6,769.4034,7,25
91,29.3,529.7771,8,40.2
92,16.9,967.4,4,40.3
93,19.2,557.478,4,47
94,15.4,205.367,7,55.1
95,17.5,964.7496,4,38.2
96,3.9,2147.376,3,31.7
97,28,372.6242,6,40.8
98,42.7,443.802,6,35.3
99,1.1,193.5845,6,49
100,6.5,376.1709,6,40.9
101,32,1156.777,0,12.8
102,4,2180.245,3,28.6
103,21.2,512.5487,4,42.5
104,4.1,2147.376,3,31.3
105,0,274.0144,1,52.2
106,22.8,707.9067,2,36.6
107,3.6,373.8389,10,61.9
108,28.2,330.0854,8,43.4
109,31.9,1146.329,0,16.1
110,13.1,1164.838,4,32.2
111,5,390.5684,5,43.1
112,5.1,1559.827,3,28.9
113,31.3,1758.406,1,20.7
114,6.6,90.45606,9,59
115,39.7,333.3679,9,32.4
116,26.6,482.7581,5,37.5
117,18.3,82.88643,10,46.6
118,34.8,175.6294,8,40.9
119,15.9,289.3248,5,53
120,13.6,319.0708,6,47.4
121,13.5,2147.376,3,23.6
122,17.3,444.1334,1,43.9
123,22.2,379.5575,10,44
124,13.2,1712.632,2,30.8
125,30.2,472.1745,3,36.5
126,18.2,451.6419,8,31.6
127,1.5,23.38284,7,49.7
128,16.1,4066.587,0,12.9
129,19.1,461.1016,5,34
130,1.1,329.9747,5,51.8
131,1.5,23.38284,7,47.7
132,35.3,616.5735,8,42.3
133,35.4,318.5292,9,78
134,31.5,5512.038,1,17.4
135,14.7,1360.139,1,24.6
136,37.2,186.5101,9,78.3
137,19.2,461.1016,5,32.9
138,16.2,289.3248,5,51.4
139,12.3,1360.139,1,29.5
140,20.6,2469.645,4,21.8
141,13.3,561.9845,5,47.3
142,10.3,211.4473,1,45.3
143,4.8,1559.827,3,21.7
144,32.6,4136.271,1,24.7
145,16.2,2288.011,3,24.4
146,32.1,1438.579,3,27
147,13.6,492.2313,5,43.8
148,40.1,123.7429,8,44.3
149,33.6,270.8895,0,42.9
150,37.1,918.6357,1,31.9
151,34,157.6052,7,39.1
152,34.6,272.6783,5,26.9
153,14.7,1935.009,2,22.9
154,13.6,4197.349,0,13
155,7.8,104.8101,5,47
156,38.3,439.7105,0,38.4
157,19.8,640.6071,5,37.5
158,10,942.4664,0,43.5
159,12.6,383.2805,7,42.5
160,10.3,3079.89,0,24.7
161,12.2,1360.139,1,30.1
162,31.5,258.186,9,36.3
163,2.5,156.2442,4,36.9
164,13.3,561.9845,5,54.8
165,38.2,552.4371,2,29.8
166,30.3,1264.73,0,19.1
167,17.4,995.7554,0,25.5
168,7.8,104.8101,5,38.4
169,15.1,383.2805,7,43.7
170,17.6,837.7233,0,23
171,31.5,414.9476,4,32.5
172,2.3,184.3302,6,45.4
173,15.6,1756.411,2,27.3
174,20.9,2185.128,3,25.7
175,34.4,512.7871,6,34.1
176,16.2,2103.555,3,25.6
177,17.3,2261.432,4,29.5
178,16.4,3780.59,0,45.1
179,12.7,170.1289,1,32.9
